id,grupo,ticker,portafolio,sector,fecha_entrada,hora_entrada_et,hora_entrada_utc,timestamp_escaneo,precio_entrada,probabilidad,score_fundamental,objetivo_inicial,objetivo_actual,historial_objetivos,stop,fecha_salida,hora_salida_et,precio_salida,motivo_salida,pnl_pct,dias_habiles,estado,notas
1,1,SNDK,A,Information Technology,2026-07-21,2026-07-21 09:30:00 EDT,2026-07-21 13:30:00 UTC,2026-07-21T08:11:44.695638-04:00,1510.26,0.9494,75.6,2354.3899,2347.999,"[{""fecha"": ""2026-07-21"", ""objetivo"": 2354.3899, ""motivo"": ""objetivo inicial""}, {""fecha"": ""2026-07-21"", ""objetivo"": 2347.999, ""motivo"": ""recálculo: ATR=199.93, resistencia=2348.00""}]",1329.0288,,,,,,,abierta,prob=0.949 score_fund=75.6 sent=0.221 (n=10)
2,1,SNDK,B,Information Technology,2026-07-21,2026-07-21 09:30:00 EDT,2026-07-21 13:30:00 UTC,2026-07-21T08:11:44.695638-04:00,1510.26,0.9494,75.6,2354.3899,2347.999,"[{""fecha"": ""2026-07-21"", ""objetivo"": 2354.3899, ""motivo"": ""objetivo inicial""}, {""fecha"": ""2026-07-21"", ""objetivo"": 2347.999, ""motivo"": ""recálculo: ATR=199.93, resistencia=2348.00""}]",,,,,,,,abierta,prob=0.949 score_fund=75.6 sent=0.221 (n=10)
3,2,GLW,A,Information Technology,2026-07-21,2026-07-21 09:30:00 EDT,2026-07-21 13:30:00 UTC,2026-07-21T08:11:44.695638-04:00,161.3,0.9343,64.8,214.0667,193.6453,"[{""fecha"": ""2026-07-21"", ""objetivo"": 214.0667, ""motivo"": ""objetivo inicial""}, {""fecha"": ""2026-07-21"", ""objetivo"": 193.6453, ""motivo"": ""recálculo: ATR=16.17, resistencia=271.78""}]",141.944,,,,,,,abierta,prob=0.934 score_fund=64.8 sent=0.007 (n=10)
4,2,GLW,B,Information Technology,2026-07-21,2026-07-21 09:30:00 EDT,2026-07-21 13:30:00 UTC,2026-07-21T08:11:44.695638-04:00,161.3,0.9343,64.8,214.0667,193.6453,"[{""fecha"": ""2026-07-21"", ""objetivo"": 214.0667, ""motivo"": ""objetivo inicial""}, {""fecha"": ""2026-07-21"", ""objetivo"": 193.6453, ""motivo"": ""recálculo: ATR=16.17, resistencia=271.78""}]",,,,,,,,abierta,prob=0.934 score_fund=64.8 sent=0.007 (n=10)
5,3,MRVL,A,Information Technology,2026-07-21,2026-07-21 09:30:00 EDT,2026-07-21 13:30:00 UTC,2026-07-21T08:11:44.695638-04:00,205.555,0.9343,57.6,314.0925,299.926,"[{""fecha"": ""2026-07-21"", ""objetivo"": 314.0925, ""motivo"": ""objetivo inicial""}, {""fecha"": ""2026-07-21"", ""objetivo"": 299.926, ""motivo"": ""recálculo: ATR=21.33, resistencia=299.93""}]",180.8884,,,,,,,abierta,prob=0.934 score_fund=57.6 sent=-0.024 (n=10)
6,3,MRVL,B,Information Technology,2026-07-21,2026-07-21 09:30:00 EDT,2026-07-21 13:30:00 UTC,2026-07-21T08:11:44.695638-04:00,205.555,0.9343,57.6,314.0925,299.926,"[{""fecha"": ""2026-07-21"", ""objetivo"": 314.0925, ""motivo"": ""objetivo inicial""}, {""fecha"": ""2026-07-21"", ""objetivo"": 299.926, ""motivo"": ""recálculo: ATR=21.33, resistencia=299.93""}]",,,,,,,,abierta,prob=0.934 score_fund=57.6 sent=-0.024 (n=10)
7,4,WDC,A,Information Technology,2026-07-21,2026-07-21 09:30:00 EDT,2026-07-21 13:30:00 UTC,2026-07-21T08:11:44.695638-04:00,529.78,0.9343,88.7,779.8,729.0,"[{""fecha"": ""2026-07-21"", ""objetivo"": 779.8, ""motivo"": ""objetivo inicial""}, {""fecha"": ""2026-07-21"", ""objetivo"": 729.0, ""motivo"": ""recálculo: ATR=53.65, resistencia=729.00""}]",466.2064,,,,,,,abierta,prob=0.934 score_fund=88.7 sent=0.149 (n=10)
8,4,WDC,B,Information Technology,2026-07-21,2026-07-21 09:30:00 EDT,2026-07-21 13:30:00 UTC,2026-07-21T08:11:44.695638-04:00,529.78,0.9343,88.7,779.8,729.0,"[{""fecha"": ""2026-07-21"", ""objetivo"": 779.8, ""motivo"": ""objetivo inicial""}, {""fecha"": ""2026-07-21"", ""objetivo"": 729.0, ""motivo"": ""recálculo: ATR=53.65, resistencia=729.00""}]",,,,,,,,abierta,prob=0.934 score_fund=88.7 sent=0.149 (n=10)
9,5,COHR,A,Information Technology,2026-07-21,2026-07-21 09:30:00 EDT,2026-07-21 13:30:00 UTC,2026-07-21T08:11:44.695638-04:00,307.26,0.888,54.2,439.68,419.0,"[{""fecha"": ""2026-07-21"", ""objetivo"": 439.68, ""motivo"": ""objetivo inicial""}, {""fecha"": ""2026-07-21"", ""objetivo"": 419.0, ""motivo"": ""recálculo: ATR=29.88, resistencia=419.00""}]",270.3888,,,,,,,abierta,prob=0.888 score_fund=54.2 sent=0.256 (n=10)
10,5,COHR,B,Information Technology,2026-07-21,2026-07-21 09:30:00 EDT,2026-07-21 13:30:00 UTC,2026-07-21T08:11:44.695638-04:00,307.26,0.888,54.2,439.68,419.0,"[{""fecha"": ""2026-07-21"", ""objetivo"": 439.68, ""motivo"": ""objetivo inicial""}, {""fecha"": ""2026-07-21"", ""objetivo"": 419.0, ""motivo"": ""recálculo: ATR=29.88, resistencia=419.00""}]",,,,,,,,abierta,prob=0.888 score_fund=54.2 sent=0.256 (n=10)
